Student_id,S_GPA
1,2.95
2,1.87
3,2.14
4,2.79
5,3.33
6,3.68
7,3.59
8,2.48
9,3.37
10,2.13
11,1.08
12,2.41
13,3.82
14,3.98
15,0.74
16,2.01
17,1.92
18,0.78
19,3.82
20,2.38
21,1.63
22,1.59
23,3.69
24,3.65
25,1.28
26,2.83
27,1.02
28,1.46
29,3.85
30,2.88
31,1.27
32,2.09
33,3.84
34,0.62
35,3.93
36,1.38
37,0.6
38,2.66
39,2.87
40,1.12
41,0.86
42,2.08
43,2.38
44,3.7
45,2.04
46,3.99
47,3.72
48,3.36
49,2.29
50,2.92
51,3.44
52,2.4
53,2.26
54,3.73
55,2.87
56,1.98
57,2.52
58,1.93
59,0.95
60,1.39
61,1.4
62,1.26
63,3.49
64,1.45
65,3.37
66,3.04
67,3.09
68,1.24
69,2.06
70,2.39
71,0.78
72,3.98
73,1.72
74,2.88
75,1.78
76,2.86
77,1.14
78,1.73
79,3.06
80,3.71
81,0.52
82,0.83
83,2.99
84,3.05
85,3.44
86,3.1
87,0.5
88,0.9
89,2.89
90,3.24
91,0.67
92,2.63
93,1.78
94,3.63
95,3.8
96,3.88
97,2.09
98,3.51
99,2.12
100,0.84
