Student_id,S_GPA
1,2.06
2,2.35
3,3.43
4,2.65
5,0.93
6,3.97
7,2.06
8,2.56
9,3.43
10,2.45
11,1.12
12,1.29
13,1.52
14,2.68
15,3.72
16,2.98
17,1.23
18,1.46
19,3.56
20,2.89
21,1.79
22,3.41
23,3.67
24,2.94
25,0.98
26,1.32
27,0.63
28,3.22
29,1.13
30,1.43
31,1.09
32,0.69
33,2.95
34,3.86
35,1.22
36,3.24
37,1.65
38,1.84
39,1.15
40,1.25
41,3.18
42,2.38
43,2.66
44,3.82
45,3.62
46,0.86
47,1.8
48,0.94
49,0.59
50,0.64
51,3.32
52,1.37
53,1.89
54,0.81
55,3.76
56,3.98
57,2.58
58,0.96
59,1.8
60,2.03
61,1.49
62,3.23
63,3.81
64,1.36
65,1.89
66,0.52
67,2.78
68,3.29
69,3.16
70,2.3
71,3.84
72,2.44
73,1.07
74,1.86
75,1.6
76,0.68
77,3.28
78,2.86
79,2
80,3.09
81,1.19
82,2.14
83,3.26
84,1.19
85,3.52
86,2.33
87,2.28
88,3.66
89,1.93
90,2.97
91,0.75
92,1.97
93,3.26
94,0.85
95,0.99
96,1.12
97,0.74
98,3.15
99,0.67
100,2.65
