Student_id,S_GPA
1,0.88
2,2.26
3,1.27
4,0.97
5,3.25
6,3.81
7,3.59
8,3.88
9,2.62
10,3.76
11,0.8
12,2.07
13,2.08
14,3.11
15,1.47
16,1.3
17,2.65
18,3.85
19,0.66
20,0.84
21,3.85
22,2.47
23,1.33
24,1.94
25,1.48
26,0.96
27,2.13
28,1.33
29,1
30,2.5
31,2.98
32,0.55
33,3.03
34,1.25
35,3.44
36,3.31
37,3
38,0.84
39,2.96
40,3.92
41,2.25
42,1.52
43,2.21
44,2.61
45,0.84
46,3.74
47,1.28
48,1.49
49,3.95
50,3.29
51,2.94
52,2.23
53,0.66
54,0.78
55,0.65
56,2.71
57,1.77
58,2.94
59,2.62
60,3.64
61,1.14
62,0.59
63,2.18
64,0.53
65,1.25
66,1.34
67,2.93
68,1.11
69,2.57
70,3.47
71,1.56
72,3.66
73,3.61
74,3.31
75,3.64
76,0.68
77,3.26
78,0.77
79,0.95
80,2.97
81,3.92
82,2.08
83,2.3
84,2.91
85,2.59
86,2.91
87,3.74
88,3.14
89,2.38
90,0.75
91,1.28
92,3.74
93,2.49
94,3.71
95,3.33
96,2.18
97,3.99
98,1.26
99,2.49
100,2.36
