Student_id,S_GPA
1,1.05
2,1.72
3,3.24
4,0.68
5,3.39
6,3.82
7,3.9
8,0.67
9,2.24
10,1.94
11,3.53
12,2.74
13,2.3
14,1
15,2.85
16,3.1
17,3.14
18,2.24
19,1.61
20,0.85
21,3.68
22,1.68
23,3.96
24,2.73
25,1.67
26,1.59
27,3.68
28,3.04
29,2.77
30,1.29
31,0.66
32,2.16
33,2.79
34,1.73
35,2.89
36,1.3
37,1.9
38,1.05
39,2.88
40,1.28
41,3.53
42,1.46
43,1.89
44,2.31
45,1.78
46,1.89
47,1.37
48,1.7
49,2.32
50,1.06
51,1.52
52,3
53,2.94
54,3.95
55,2.25
56,3.58
57,2.93
58,0.95
59,1.11
60,0.73
61,0.68
62,1.37
63,2.23
64,2.03
65,1.08
66,3.49
67,2.44
68,0.78
69,0.84
70,3.61
71,1.98
72,1.19
73,3.63
74,2.65
75,2.76
76,3.67
77,3.73
78,3.35
79,1.44
80,1
81,2.88
82,2.13
83,2.95
84,3.24
85,3.5
86,3.89
87,1.18
88,1.87
89,2.38
90,3.26
91,1.94
92,1.78
93,3.12
94,1.94
95,0.76
96,1.14
97,1.24
98,2.04
99,1.81
100,1.21
