Student_id,S_GPA
1,2.87
2,2.23
3,1.45
4,1.61
5,2.84
6,1.25
7,2.32
8,2.28
9,3.23
10,3.68
11,3.01
12,0.57
13,1.36
14,1.16
15,2.88
16,2.11
17,1.33
18,2.79
19,1.86
20,3.7
21,2.95
22,0.71
23,3.25
24,3.51
25,0.9
26,3.61
27,2.48
28,0.65
29,1.89
30,2.72
31,3.77
32,1.05
33,0.86
34,1.91
35,3.18
36,1.6
37,1.64
38,2.98
39,3.4
40,0.59
41,0.51
42,3.76
43,3.6
44,1.55
45,2.1
46,1.7
47,2.48
48,3.4
49,3.74
50,0.89
51,3.04
52,1.88
53,1.99
54,1.84
55,1.51
56,1.75
57,2.78
58,1.92
59,3.66
60,1.05
61,3.05
62,1.95
63,2.03
64,3.08
65,0.6
66,2.23
67,2.73
68,1.57
69,2.22
70,1.74
71,2.97
72,3.12
73,1.22
74,2.28
75,2.95
76,3.15
77,1.7
78,3.83
79,0.96
80,1.11
81,3.87
82,2.61
83,3.74
84,3.7
85,3.02
86,3.69
87,3.33
88,3.53
89,2.64
90,2.11
91,0.6
92,1.2
93,1.52
94,3.34
95,3.27
96,1.47
97,1.41
98,1.5
99,1.45
100,2.23
