Student_id,S_GPA
1,1.2
2,3.5
3,1.62
4,2.25
5,1.09
6,3.51
7,2.76
8,2.25
9,2.02
10,3.2
11,2.25
12,1.28
13,2.84
14,3.51
15,1.28
16,3.11
17,3.77
18,1.85
19,0.86
20,3.85
21,1.19
22,1.09
23,3.06
24,1.2
25,2.9
26,2.38
27,0.63
28,2.38
29,3.6
30,2.32
31,3.81
32,1.73
33,0.65
34,1.27
35,1.71
36,0.65
37,3.87
38,1.65
39,1.06
40,3.04
41,3.14
42,3.55
43,2.53
44,2.48
45,1.55
46,2.05
47,3.96
48,0.66
49,3.96
50,2.55
51,3.78
52,1.12
53,3.11
54,0.68
55,1.53
56,1.07
57,2.74
58,3.52
59,1.84
60,0.86
61,1.66
62,3.06
63,2.69
64,3.43
65,1.18
66,3.03
67,1.6
68,1.69
69,0.93
70,2.86
71,0.8
72,2.85
73,3.75
74,3.01
75,1.02
76,1.57
77,3.25
78,1.61
79,2.14
80,2.59
81,1.21
82,3.87
83,1.15
84,1.99
85,1.18
86,2.79
87,2.35
88,3.51
89,3.59
90,3.34
91,2.44
92,1.88
93,0.67
94,1.81
95,2.78
96,2.25
97,1.36
98,3.94
99,2.02
100,0.93
