Student_id,S_GPA
1,2.99
2,1.36
3,0.71
4,3.86
5,2.1
6,3.56
7,2.76
8,3.83
9,4
10,1.83
11,1.03
12,3.06
13,2.46
14,0.96
15,3.45
16,3.52
17,1.69
18,1.14
19,1.52
20,3.81
21,1.7
22,1.95
23,3.65
24,1.78
25,2.85
26,2.14
27,1.83
28,2.1
29,2.55
30,0.87
31,3.68
32,1.53
33,2.72
34,1.34
35,1.15
36,3.82
37,3.81
38,3.07
39,2.35
40,2.83
41,1.27
42,2.02
43,2.11
44,2.74
45,1.86
46,1.89
47,3.34
48,2.53
49,0.59
50,1.89
51,1
52,2.07
53,1.58
54,1.23
55,0.88
56,1.96
57,2.97
58,3.53
59,3.04
60,2.17
61,2.75
62,0.91
63,3.79
64,1.25
65,3.11
66,3.88
67,2.27
68,3.13
69,2.35
70,2.5
71,3.27
72,3.45
73,3.58
74,3.45
75,1.12
76,1.02
77,1.34
78,3.17
79,0.56
80,1.46
81,1.52
82,1.61
83,0.87
84,3.03
85,2.35
86,3.62
87,1.33
88,2.64
89,0.73
90,3.56
91,3.87
92,3.26
93,0.71
94,3.71
95,3.85
96,2.23
97,2.56
98,2.09
99,2.33
100,3.39
