Student_id,S_GPA
1,2.3
2,2.94
3,2.87
4,1.91
5,3.07
6,1.14
7,3.97
8,2.39
9,1.93
10,3.94
11,3.46
12,2.42
13,1.81
14,3.63
15,0.98
16,1.79
17,1.59
18,2.15
19,1.86
20,3.73
21,1.17
22,3.93
23,3.76
24,1.77
25,1.24
26,1.98
27,1.97
28,0.9
29,2.86
30,0.63
31,2.93
32,2.69
33,0.99
34,1.95
35,0.51
36,1.63
37,3.34
38,2.26
39,0.76
40,0.71
41,0.86
42,3.3
43,0.53
44,1.01
45,2.63
46,3.09
47,2.8
48,3.27
49,2.19
50,1.02
51,1.84
52,2.33
53,0.93
54,0.93
55,1.16
56,1.49
57,0.6
58,2.49
59,3.03
60,2.16
61,2.39
62,1.31
63,0.54
64,1.33
65,3.17
66,3.69
67,1.32
68,0.9
69,3.97
70,1.52
71,2.5
72,3.5
73,2.41
74,2.73
75,1.5
76,2.33
77,3.18
78,1.08
79,1.09
80,3.78
81,2.9
82,1.08
83,2.53
84,0.61
85,3.01
86,0.65
87,1.35
88,1.68
89,2.44
90,3.47
91,2.86
92,0.63
93,1.21
94,0.66
95,1.7
96,0.8
97,2.29
98,1.88
99,2.46
100,0.68
