Student_id,S_GPA
1,1.4
2,2.71
3,2.66
4,3.08
5,1.55
6,1.01
7,3.45
8,3.25
9,3.26
10,3.42
11,2.36
12,2.61
13,2.12
14,2.13
15,1.72
16,2.3
17,1.07
18,3.46
19,2.08
20,3.38
21,0.53
22,3.29
23,3
24,3.82
25,2.65
26,3.32
27,3.85
28,3.82
29,3.98
30,0.73
31,3.86
32,2.92
33,2.83
34,1.63
35,2.99
36,2.11
37,1.51
38,2.58
39,1.54
40,2.75
41,1.7
42,1.89
43,1.61
44,3.43
45,2.37
46,1.62
47,0.54
48,3.18
49,0.97
50,2.36
51,3.2
52,3.36
53,3.2
54,1.15
55,1.51
56,3.41
57,2.65
58,1.85
59,2.95
60,3.45
61,2.05
62,1.3
63,2.41
64,3.91
65,0.75
66,0.82
67,2.58
68,2.91
69,3.07
70,2.75
71,2.9
72,1.26
73,2.97
74,2.94
75,3.48
76,1.36
77,2.19
78,1.24
79,1.7
80,2.09
81,1.44
82,3.91
83,2.33
84,1.53
85,1.71
86,1.69
87,2.82
88,2.78
89,3.79
90,1.46
91,2.65
92,1.57
93,2.03
94,0.51
95,3.13
96,2.91
97,3.16
98,1.65
99,2.56
100,1.39
